time,Open,High,Low,Close
2012-01-02,1760,1770,1750,1760
2012-01-03,1770,1820,1770,1810
2012-01-04,1820,1830,1810,1830
2012-01-05,1830,1830,1780,1790
2012-01-06,1790,1800,1760,1770
2012-01-09,1760,1790,1760,1780
2012-01-10,1790,1820,1770,1820
2012-01-11,1820,1830,1790,1810
2012-01-12,1800,1810,1790,1810
2012-01-13,1810,1820,1790,1810
2012-01-16,1790,1800,1760,1780
2012-01-17,1790,1800,1780,1800
2012-01-18,1800,1820,1790,1820
2012-01-19,1830,1850,1820,1830
2012-01-20,1850,1850,1800,1820
2012-01-24,1830,1840,1820,1830
2012-01-25,1840,1850,1830,1840
2012-01-26,1840,1850,1830,1840
2012-01-27,1840,1860,1830,1860
2012-01-30,1850,1860,1820,1820
2012-01-31,1820,1840,1810,1830
2012-02-01,1830,1880,1790,1870
2012-02-02,1880,1960,1870,1960
2012-02-03,1960,1980,1920,1920
2012-02-06,1960,1980,1930,1940
2012-02-07,1960,2000,1940,1980
2012-02-08,1990,2025,1950,2000
2012-02-09,2000,2000,1970,1980
2012-02-10,1990,1990,1910,1930
2012-02-13,1940,1950,1920,1950
2012-02-14,1950,1950,1900,1920
2012-02-15,1930,1960,1920,1950
2012-02-16,1930,1940,1910,1920
2012-02-17,1950,1980,1930,1980
2012-02-20,1990,2000,1960,1990
2012-02-21,1990,1990,1970,1990
2012-02-22,1980,2000,1960,2000
2012-02-23,1990,2000,1960,1960
2012-02-24,1960,1960,1900,1920
2012-02-27,1910,1920,1870,1890
2012-02-28,1890,1900,1870,1900
2012-02-29,1900,1930,1890,1920
2012-03-01,1910,1920,1900,1900
2012-03-02,1920,1970,1920,1970
2012-03-05,1970,1970,1930,1950
2012-03-06,1940,1940,1920,1930
2012-03-07,1900,1920,1900,1920
2012-03-08,1920,1940,1920,1930
2012-03-09,1930,1960,1930,1960
2012-03-12,1960,1970,1940,1950
2012-03-13,1960,1970,1940,1940
2012-03-14,1970,1980,1960,1970
2012-03-15,1980,1980,1920,1940
2012-03-16,1950,1950,1910,1920
2012-03-19,1930,1940,1910,1910
2012-03-20,1910,1930,1900,1920
2012-03-21,1920,1930,1870,1900
2012-03-22,1880,1910,1870,1900
2012-03-26,1920,1930,1880,1890
2012-03-27,1910,1920,1870,1890
2012-03-28,1900,1930,1890,1930
2012-03-29,1920,1930,1910,1920
2012-03-30,1910,1930,1910,1930
2012-04-02,1930,1960,1930,1960
2012-04-03,1960,1970,1940,1960
2012-04-04,1950,1950,1900,1910
2012-04-05,1890,1920,1890,1910
2012-04-09,1890,1920,1890,1900
2012-04-10,1900,1910,1880,1880
2012-04-11,1880,1880,1820,1830
2012-04-12,1840,1860,1800,1810
2012-04-13,1830,1840,1820,1830
2012-04-16,1820,1840,1810,1820
2012-04-17,1840,1840,1800,1810
2012-04-18,1830,1860,1810,1820
2012-04-19,1820,1820,1790,1810
2012-04-20,1800,1800,1770,1800
2012-04-23,1790,1810,1780,1800
2012-04-24,1800,1830,1790,1830
2012-04-25,1820,1820,1790,1820
2012-04-26,1810,1820,1800,1810
2012-04-27,1820,1820,1800,1810
2012-04-30,1830,1860,1830,1860
2012-05-01,1860,1870,1840,1870
2012-05-02,1870,1880,1830,1870
2012-05-03,1850,1860,1830,1840
2012-05-04,1850,1850,1800,1810
