time,Open,High,Low,Close
2012-01-02,610,610,600,605
2012-01-03,610,620,605,615
2012-01-04,625,650,615,635
2012-01-05,635,660,630,660
2012-01-06,660,680,660,670
2012-01-09,670,675,665,675
2012-01-10,675,680,660,680
2012-01-11,675,685,650,660
2012-01-12,660,670,655,665
2012-01-13,665,670,655,670
2012-01-16,665,725,665,725
2012-01-17,725,730,695,705
2012-01-18,710,710,690,700
2012-01-19,700,720,700,710
2012-01-20,710,715,680,690
2012-01-24,695,695,665,670
2012-01-25,670,690,670,690
2012-01-26,690,695,680,690
2012-01-27,690,700,685,690
2012-01-30,690,695,685,690
2012-01-31,690,730,685,730
2012-02-01,720,725,715,725
2012-02-02,725,730,710,730
2012-02-03,730,730,720,725
2012-02-06,730,730,720,725
2012-02-07,730,745,725,735
2012-02-08,735,745,730,745
2012-02-09,740,740,725,735
2012-02-10,735,735,700,705
2012-02-13,705,710,700,710
2012-02-14,710,730,710,730
2012-02-15,735,755,735,750
2012-02-16,745,745,730,735
2012-02-17,745,745,735,745
2012-02-20,750,775,745,770
2012-02-21,770,780,760,765
2012-02-22,765,775,755,760
2012-02-23,750,760,745,760
2012-02-24,745,755,735,745
2012-02-27,745,745,730,740
2012-02-28,740,740,710,720
2012-02-29,720,725,710,720
2012-03-01,720,740,710,740
2012-03-02,740,750,735,750
2012-03-05,750,755,745,755
2012-03-06,750,755,740,755
2012-03-07,740,755,740,755
2012-03-08,750,760,745,760
2012-03-09,760,785,760,785
2012-03-12,780,825,780,810
2012-03-13,820,830,815,825
2012-03-14,830,835,805,810
2012-03-15,800,825,800,815
2012-03-16,810,815,800,810
2012-03-19,810,820,810,820
2012-03-20,810,830,810,820
2012-03-21,810,820,790,795
2012-03-22,795,795,780,785
2012-03-26,795,815,795,805
2012-03-27,810,870,810,860
2012-03-28,860,885,845,860
2012-03-29,860,870,850,860
2012-03-30,850,860,850,860
2012-04-02,855,865,850,860
2012-04-03,860,860,835,840
2012-04-04,840,840,810,815
2012-04-05,805,840,800,820
2012-04-09,820,820,800,810
2012-04-10,810,820,810,820
2012-04-11,810,815,800,815
2012-04-12,815,820,805,810
2012-04-13,815,865,815,855
2012-04-16,855,870,850,855
2012-04-17,855,855,840,845
2012-04-18,850,855,845,850
2012-04-19,850,855,850,855
2012-04-20,855,855,840,855
2012-04-23,850,870,825,835
2012-04-24,835,845,835,845
2012-04-25,845,845,830,845
2012-04-26,845,845,835,845
2012-04-27,845,845,825,830
2012-04-30,830,830,810,825
2012-05-01,820,825,810,820
2012-05-02,825,840,820,835
2012-05-03,830,835,820,825
2012-05-04,830,830,815,815
2012-05-07,800,810,785,810
2012-05-08,810,810,795,800
2012-05-09,800,805,760,770
2012-05-10,770,785,755,785
2012-05-11,780,780,760,770
2012-05-14,770,780,760,765
2012-05-15,760,765,735,755
2012-05-16,745,745,705,720
2012-05-21,710,715,675,690
2012-05-22,690,735,690,735
2012-05-23,730,730,710,725
2012-05-24,725,730,715,720
2012-05-25,720,720,690,695
2012-05-28,695,705,680,705
2012-05-29,705,715,695,710
2012-05-30,700,720,700,705
