time,Open,High,Low,Close
2011-05-24,5920,5930,5785,5810
2011-05-25,5800,5810,5730,5810
2011-05-26,5860,5980,5860,5930
2011-05-27,5830,6000,5830,5920
2011-05-30,5900,5920,5860,5905
2011-05-31,5955,5965,5850,5875
2011-06-01,5875,5985,5860,5910
2011-06-03,5890,5925,5830,5895
2011-06-06,5860,5955,5845,5930
2011-06-07,5930,5975,5895,5960
2011-06-08,5920,5950,5875,5950
2011-06-09,5900,5910,5860,5880
2011-06-10,5880,5900,5735,5745
2011-06-13,5700,5700,5595,5640
2011-06-14,5600,5735,5600,5735
2011-06-15,5780,5910,5775,5900
2011-06-16,5830,5895,5745,5815
2011-06-17,5800,5850,5735,5830
2011-06-20,5830,5880,5815,5845
2011-06-21,5845,5910,5830,5910
2011-06-22,5925,6010,5925,6000
2011-06-23,6000,6160,5950,6080
2011-06-24,6110,6200,6090,6190
2011-06-27,6130,6130,6050,6105
2011-06-28,6150,6215,6150,6155
2011-06-30,6200,6425,6200,6355
2011-07-01,6500,6700,6480,6555
2011-07-04,6575,6850,6575,6850
2011-07-05,6800,6800,6600,6630
2011-07-06,6555,6630,6505,6510
2011-07-07,6490,6640,6460,6585
2011-07-08,6660,6860,6660,6780
2011-07-11,6730,6860,6670,6800
2011-07-12,6800,6845,6665,6705
2011-07-13,6710,6820,6710,6800
2011-07-14,6830,6895,6830,6895
2011-07-15,6900,7040,6900,7040
2011-07-18,7050,7320,7050,7260
2011-07-19,7200,7200,7120,7150
2011-07-20,7230,7320,7140,7195
2011-07-21,7195,7195,7120,7125
2011-07-22,7200,7350,7130,7290
2011-07-25,7240,7305,7200,7245
2011-07-26,7245,7400,7200,7395
2011-07-27,7395,7595,7390,7500
2011-07-28,7450,7450,7170,7175
2011-07-29,7190,7195,6965,7050
2011-08-01,7150,7240,6980,7165
2011-08-02,7100,7150,7000,7120
2011-08-03,7000,7150,6900,7065
2011-08-04,7080,7120,6955,7040
2011-08-05,6700,6880,6665,6720
2011-08-08,6550,6735,6410,6505
2011-08-09,6180,6730,6085,6410
2011-08-10,6650,6860,6650,6780
2011-08-11,6750,6805,6675,6740
2011-08-12,6800,6850,6695,6715
2011-08-15,6750,7020,6750,7000
2011-08-16,7070,7100,6950,7000
2011-08-18,7050,7275,7050,7275
2011-08-19,7000,7030,6605,6610
2011-08-22,6680,6790,6555,6775
2011-08-23,6740,6795,6655,6725
2011-08-24,6750,6795,6715,6715
2011-08-25,6765,6810,6735,6740
2011-08-26,6625,6780,6605,6615
2011-09-05,6665,6840,6665,6780
2011-09-06,6780,6850,6710,6850
2011-09-07,6900,7150,6870,7125
2011-09-08,7130,7180,7045,7100
2011-09-09,7150,7170,7020,7030
2011-09-12,6925,7020,6860,6940
2011-09-13,6940,7025,6850,6900
2011-09-14,6900,6970,6635,6675
2011-09-15,6700,6750,6435,6530
2011-09-16,6650,6700,6580,6590
2011-09-19,6590,6640,6475,6500
2011-09-20,6500,6550,6340,6540
2011-09-21,6540,6540,6350,6405
2011-09-22,6150,6150,5705,5800
2011-09-23,5510,5925,5500,5885
2011-09-26,5885,5890,5510,5700
2011-09-27,5875,6095,5875,6055
2011-09-28,6055,6280,6035,6220
2011-09-29,6130,6415,6120,6405
2011-09-30,6490,6560,6320,6365
2011-10-03,6300,6300,5875,5895
2011-10-04,5800,5985,5800,5870
2011-10-05,5900,5960,5730,5730
