time,Open,High,Low,Close
2012-01-02,1600,1600,1590,1600
2012-01-03,1610,1620,1590,1620
2012-01-04,1610,1630,1600,1620
2012-01-05,1620,1630,1610,1610
2012-01-06,1610,1610,1590,1600
2012-01-09,1590,1630,1580,1630
2012-01-10,1630,1640,1620,1630
2012-01-11,1630,1650,1610,1620
2012-01-12,1620,1640,1610,1630
2012-01-13,1630,1630,1600,1600
2012-01-16,1600,1620,1580,1590
2012-01-17,1590,1600,1580,1590
2012-01-18,1590,1600,1580,1590
2012-01-19,1600,1620,1590,1600
2012-01-20,1590,1610,1590,1600
2012-01-24,1590,1620,1590,1620
2012-01-25,1610,1620,1600,1610
2012-01-26,1610,1630,1600,1630
2012-01-27,1630,1630,1610,1620
2012-01-30,1620,1620,1570,1590
2012-01-31,1590,1600,1570,1600
2012-02-01,1600,1610,1590,1600
2012-02-02,1600,1650,1590,1620
2012-02-03,1620,1630,1610,1610
2012-02-06,1610,1620,1600,1610
2012-02-07,1610,1610,1570,1580
2012-02-08,1580,1580,1560,1580
2012-02-09,1580,1590,1570,1580
2012-02-10,1580,1580,1490,1510
2012-02-13,1500,1520,1500,1520
2012-02-14,1520,1520,1470,1480
2012-02-15,1490,1500,1440,1460
2012-02-16,1460,1470,1440,1470
2012-02-17,1490,1490,1460,1490
2012-02-20,1490,1500,1470,1490
2012-02-21,1490,1510,1480,1510
2012-02-22,1500,1510,1490,1510
2012-02-23,1500,1510,1480,1500
2012-02-24,1490,1490,1460,1490
2012-02-27,1500,1500,1450,1480
2012-02-28,1490,1500,1470,1490
2012-02-29,1510,1530,1500,1520
2012-03-01,1520,1540,1500,1530
2012-03-02,1530,1550,1520,1550
2012-03-05,1520,1540,1520,1540
2012-03-06,1530,1540,1510,1540
2012-03-07,1520,1540,1500,1500
2012-03-08,1500,1520,1490,1510
2012-03-09,1510,1520,1490,1510
2012-03-12,1520,1540,1520,1540
2012-03-13,1550,1550,1530,1530
2012-03-14,1560,1570,1540,1570
2012-03-15,1580,1580,1550,1560
2012-03-16,1570,1590,1560,1580
2012-03-19,1590,1600,1580,1590
2012-03-20,1600,1600,1580,1600
2012-03-21,1590,1590,1570,1580
2012-03-22,1580,1590,1570,1590
2012-03-26,1600,1620,1590,1600
2012-03-27,1610,1620,1600,1620
2012-03-28,1630,1630,1610,1620
2012-03-29,1610,1610,1600,1610
2012-03-30,1620,1620,1600,1600
2012-04-02,1600,1620,1600,1610
2012-04-03,1620,1650,1610,1620
2012-04-04,1620,1620,1550,1550
2012-04-05,1550,1610,1550,1590
2012-04-09,1590,1600,1580,1590
2012-04-10,1590,1590,1570,1580
2012-04-11,1570,1590,1570,1580
2012-04-12,1570,1600,1570,1600
2012-04-13,1600,1610,1590,1590
2012-04-16,1600,1600,1570,1570
2012-04-17,1590,1600,1570,1580
2012-04-18,1580,1590,1580,1580
2012-04-19,1570,1590,1570,1590
2012-04-20,1590,1600,1580,1600
2012-04-23,1590,1600,1590,1600
2012-04-24,1600,1600,1580,1600
2012-04-25,1590,1600,1570,1590
2012-04-26,1590,1650,1590,1600
2012-04-27,1600,1610,1570,1570
2012-04-30,1580,1600,1570,1600
2012-05-01,1590,1600,1590,1600
2012-05-02,1600,1610,1590,1600
2012-05-03,1600,1620,1600,1610
2012-05-04,1600,1610,1590,1610
2012-05-07,1590,1610,1580,1600
2012-05-08,1610,1610,1590,1600
2012-05-09,1610,1610,1590,1600
2012-05-10,1590,1610,1590,1600
2012-05-11,1600,1610,1590,1600
2012-05-14,1600,1600,1550,1550
2012-05-15,1550,1570,1540,1560
2012-05-16,1540,1550,1480,1510
2012-05-21,1500,1500,1450,1460
2012-05-22,1460,1500,1460,1490
2012-05-23,1480,1500,1460,1490
2012-05-24,1480,1500,1470,1490
2012-05-25,1470,1480,1440,1450
2012-05-28,1450,1460,1410,1450
2012-05-29,1450,1460,1440,1450
2012-05-30,1450,1480,1440,1460
2012-05-31,1450,1460,1400,1400
2012-06-01,1420,1430,1400,1420
2012-06-04,1380,1390,1350,1380
2012-06-05,1400,1430,1390,1410
2012-06-06,1420,1450,1410,1440
2012-06-07,1450,1480,1430,1440
2012-06-08,1440,1440,1390,1410
2012-06-11,1430,1440,1410,1440
2012-06-12,1420,1440,1410,1430
2012-06-13,1440,1450,1430,1430
2012-06-14,1440,1450,1420,1430
2012-06-15,1430,1450,1420,1420
2012-06-18,1460,1480,1450,1460
2012-06-19,1450,1490,1440,1490
2012-06-20,1480,1500,1470,1500
2012-06-21,1500,1500,1450,1470
2012-06-22,1440,1460,1430,1450
2012-06-25,1440,1460,1440,1450
2012-06-26,1450,1480,1440,1470
2012-06-27,1480,1500,1460,1490
2012-06-28,1500,1500,1460,1460
2012-06-29,1480,1500,1460,1460
2012-07-02,1460,1470,1450,1470
