time,Open,High,Low,Close
2012-01-02,1912.5,1925.0,1900.0,1912.5
2012-01-03,1925.0,1950.0,1925.0,1950.0
2012-01-04,1950.0,1975.0,1937.5,1962.5
2012-01-05,1950.0,1950.0,1912.5,1925.0
2012-01-06,1912.5,1925.0,1862.5,1887.5
2012-01-09,1875.0,1875.0,1837.5,1862.5
2012-01-10,1862.5,1875.0,1837.5,1875.0
2012-01-11,1875.0,1875.0,1837.5,1862.5
2012-01-12,1862.5,1862.5,1837.5,1850.0
2012-01-13,1862.5,1862.5,1837.5,1862.5
2012-01-16,1837.5,1850.0,1837.5,1850.0
2012-01-17,1850.0,1862.5,1837.5,1850.0
2012-01-18,1850.0,1862.5,1825.0,1862.5
2012-01-19,1862.5,1887.5,1850.0,1850.0
2012-01-20,1875.0,1875.0,1837.5,1837.5
2012-01-24,1850.0,1875.0,1850.0,1850.0
2012-01-25,1850.0,1862.5,1837.5,1850.0
2012-01-26,1850.0,1850.0,1837.5,1837.5
2012-01-27,1850.0,1862.5,1837.5,1850.0
2012-01-30,1850.0,1850.0,1800.0,1812.5
2012-01-31,1812.5,1837.5,1800.0,1812.5
2012-02-01,1812.5,1825.0,1787.5,1812.5
2012-02-02,1825.0,1825.0,1775.0,1800.0
2012-02-03,1775.0,1787.5,1750.0,1787.5
2012-02-06,1775.0,1775.0,1700.0,1712.5
2012-02-07,1700.0,1725.0,1662.5,1712.5
2012-02-08,1712.5,1800.0,1700.0,1787.5
2012-02-09,1775.0,1800.0,1775.0,1800.0
2012-02-10,1812.5,1812.5,1712.5,1725.0
2012-02-13,1725.0,1775.0,1725.0,1775.0
2012-02-14,1775.0,1775.0,1737.5,1750.0
2012-02-15,1750.0,1750.0,1675.0,1700.0
2012-02-16,1687.5,1725.0,1675.0,1712.5
2012-02-17,1737.5,1787.5,1725.0,1787.5
2012-02-20,1787.5,1800.0,1750.0,1775.0
2012-02-21,1800.0,1825.0,1775.0,1800.0
2012-02-22,1800.0,1825.0,1800.0,1825.0
2012-02-23,1825.0,1837.5,1800.0,1812.5
2012-02-24,1825.0,1825.0,1750.0,1787.5
2012-02-27,1800.0,1800.0,1762.5,1787.5
2012-02-28,1762.5,1800.0,1762.5,1800.0
2012-02-29,1812.5,1887.5,1800.0,1887.5
2012-03-01,1862.5,1887.5,1837.5,1850.0
2012-03-02,1850.0,1887.5,1850.0,1862.5
2012-03-05,1862.5,1875.0,1837.5,1850.0
2012-03-06,1850.0,1850.0,1812.5,1850.0
2012-03-07,1812.5,1850.0,1812.5,1825.0
2012-03-08,1837.5,1862.5,1837.5,1862.5
2012-03-09,1862.5,1875.0,1850.0,1862.5
2012-03-12,1875.0,1875.0,1862.5,1862.5
2012-03-13,1887.5,1900.0,1875.0,1900.0
2012-03-14,1900.0,1925.0,1887.5,1900.0
2012-03-15,1912.5,1912.5,1887.5,1887.5
2012-03-16,1912.5,1912.5,1887.5,1900.0
2012-03-19,1912.5,1937.5,1900.0,1925.0
2012-03-20,1925.0,1937.5,1900.0,1925.0
2012-03-21,1925.0,1950.0,1912.5,1950.0
