time,Open,High,Low,Close
2012-01-02,1675.0,1687.5,1662.5,1675.0
2012-01-03,1687.5,1700.0,1675.0,1700.0
2012-01-04,1712.5,1725.0,1700.0,1712.5
2012-01-05,1700.0,1712.5,1687.5,1687.5
2012-01-06,1687.5,1700.0,1662.5,1675.0
2012-01-09,1662.5,1675.0,1650.0,1675.0
2012-01-10,1687.5,1725.0,1675.0,1712.5
2012-01-11,1712.5,1725.0,1700.0,1712.5
2012-01-12,1700.0,1712.5,1687.5,1700.0
2012-01-13,1700.0,1712.5,1687.5,1712.5
2012-01-16,1700.0,1700.0,1675.0,1675.0
2012-01-17,1687.5,1700.0,1675.0,1700.0
2012-01-18,1700.0,1737.5,1687.5,1737.5
2012-01-19,1750.0,1775.0,1750.0,1775.0
2012-01-20,1775.0,1787.5,1750.0,1762.5
2012-01-24,1762.5,1775.0,1750.0,1762.5
2012-01-25,1750.0,1762.5,1725.0,1737.5
2012-01-26,1750.0,1750.0,1725.0,1737.5
2012-01-27,1737.5,1737.5,1700.0,1712.5
2012-01-30,1712.5,1712.5,1650.0,1662.5
2012-01-31,1662.5,1687.5,1650.0,1675.0
2012-02-01,1662.5,1687.5,1650.0,1687.5
2012-02-02,1687.5,1687.5,1650.0,1662.5
2012-02-03,1650.0,1662.5,1625.0,1637.5
2012-02-06,1637.5,1650.0,1587.5,1600.0
2012-02-07,1600.0,1612.5,1562.5,1600.0
2012-02-08,1600.0,1625.0,1587.5,1600.0
2012-02-09,1600.0,1612.5,1575.0,1575.0
2012-02-10,1575.0,1587.5,1500.0,1537.5
2012-02-13,1537.5,1587.5,1525.0,1587.5
2012-02-14,1575.0,1575.0,1550.0,1562.5
2012-02-15,1537.5,1575.0,1537.5,1550.0
2012-02-16,1550.0,1575.0,1537.5,1562.5
2012-02-17,1587.5,1600.0,1562.5,1587.5
2012-02-20,1600.0,1612.5,1575.0,1600.0
2012-02-21,1612.5,1625.0,1587.5,1612.5
2012-02-22,1612.5,1612.5,1600.0,1612.5
2012-02-23,1612.5,1612.5,1575.0,1575.0
2012-02-24,1575.0,1575.0,1512.5,1525.0
2012-02-27,1525.0,1525.0,1500.0,1512.5
2012-02-28,1512.5,1575.0,1500.0,1562.5
2012-02-29,1575.0,1612.5,1562.5,1612.5
2012-03-01,1600.0,1612.5,1587.5,1587.5
2012-03-02,1587.5,1625.0,1587.5,1625.0
2012-03-05,1612.5,1625.0,1600.0,1625.0
2012-03-06,1625.0,1625.0,1600.0,1625.0
2012-03-07,1600.0,1612.5,1587.5,1600.0
2012-03-08,1612.5,1650.0,1612.5,1637.5
2012-03-09,1650.0,1675.0,1650.0,1650.0
2012-03-12,1675.0,1675.0,1662.5,1675.0
2012-03-13,1675.0,1687.5,1662.5,1687.5
2012-03-14,1712.5,1725.0,1687.5,1712.5
2012-03-15,1725.0,1725.0,1687.5,1700.0
2012-03-16,1700.0,1725.0,1687.5,1725.0
2012-03-19,1725.0,1737.5,1712.5,1725.0
2012-03-20,1725.0,1737.5,1712.5,1725.0
2012-03-21,1725.0,1737.5,1712.5,1725.0
2012-03-22,1725.0,1725.0,1700.0,1712.5
2012-03-26,1712.5,1725.0,1662.5,1687.5
2012-03-27,1675.0,1687.5,1662.5,1675.0
2012-03-28,1675.0,1725.0,1662.5,1712.5
2012-03-29,1687.5,1712.5,1675.0,1700.0
2012-03-30,1700.0,1737.5,1700.0,1712.5
2012-04-02,1712.5,1737.5,1700.0,1737.5
2012-04-03,1750.0,1775.0,1750.0,1775.0
2012-04-04,1762.5,1762.5,1725.0,1737.5
2012-04-05,1737.5,1762.5,1725.0,1762.5
2012-04-09,1725.0,1750.0,1725.0,1737.5
2012-04-10,1737.5,1750.0,1725.0,1725.0
2012-04-11,1725.0,1762.5,1712.5,1737.5
2012-04-12,1737.5,1750.0,1725.0,1737.5
2012-04-13,1762.5,1775.0,1737.5,1750.0
2012-04-16,1750.0,1762.5,1725.0,1737.5
2012-04-17,1737.5,1762.5,1737.5,1762.5
2012-04-18,1762.5,1775.0,1750.0,1775.0
2012-04-19,1775.0,1775.0,1750.0,1762.5
2012-04-20,1775.0,1787.5,1762.5,1787.5
2012-04-23,1787.5,1787.5,1737.5,1737.5
2012-04-24,1737.5,1775.0,1737.5,1762.5
2012-04-25,1762.5,1787.5,1750.0,1750.0
2012-04-26,1762.5,1837.5,1762.5,1825.0
2012-04-27,1825.0,1837.5,1800.0,1825.0
2012-04-30,1837.5,1850.0,1812.5,1850.0
2012-05-01,1862.5,1862.5,1837.5,1850.0
2012-05-02,1850.0,1862.5,1825.0,1850.0
2012-05-03,1837.5,1850.0,1787.5,1812.5
2012-05-04,1825.0,1862.5,1825.0,1837.5
2012-05-07,1812.5,1837.5,1787.5,1787.5
2012-05-08,1812.5,1825.0,1800.0,1812.5
2012-05-09,1812.5,1812.5,1775.0,1800.0
2012-05-10,1800.0,1825.0,1787.5,1812.5
2012-05-11,1800.0,1812.5,1787.5,1800.0
2012-05-14,1800.0,1825.0,1800.0,1800.0
2012-05-15,1787.5,1812.5,1775.0,1787.5
2012-05-16,1750.0,1775.0,1737.5,1775.0
2012-05-21,1750.0,1775.0,1737.5,1737.5
2012-05-22,1787.5,1800.0,1762.5,1787.5
2012-05-23,1775.0,1775.0,1737.5,1762.5
2012-05-24,1762.5,1775.0,1750.0,1775.0
2012-05-25,1762.5,1762.5,1687.5,1725.0
2012-05-28,1675.0,1800.0,1662.5,1762.5
2012-05-29,1762.5,1762.5,1725.0,1725.0
2012-05-30,1725.0,1775.0,1712.5,1762.5
2012-05-31,1725.0,1737.5,1700.0,1725.0
2012-06-01,1712.5,1737.5,1712.5,1725.0
2012-06-04,1687.5,1687.5,1637.5,1650.0
2012-06-05,1687.5,1700.0,1650.0,1662.5
2012-06-06,1700.0,1737.5,1700.0,1725.0
2012-06-07,1762.5,1775.0,1712.5,1725.0
2012-06-08,1687.5,1750.0,1687.5,1737.5
2012-06-11,1750.0,1762.5,1737.5,1750.0
2012-06-12,1737.5,1750.0,1712.5,1737.5
2012-06-13,1762.5,1762.5,1737.5,1750.0
2012-06-14,1725.0,1750.0,1687.5,1700.0
2012-06-15,1700.0,1750.0,1700.0,1750.0
2012-06-18,1775.0,1800.0,1737.5,1775.0
2012-06-19,1775.0,1800.0,1737.5,1787.5
