time,Open,High,Low,Close
2012-01-02,4600,4625,4600,4625
2012-01-03,4625,4725,4600,4725
2012-01-04,4775,4875,4750,4825
2012-01-05,4825,4875,4775,4800
2012-01-06,4800,4825,4750,4775
2012-01-09,4775,4800,4725,4800
2012-01-10,4850,4975,4800,4950
2012-01-11,4950,4975,4875,4900
2012-01-12,4900,4900,4775,4775
2012-01-13,4800,4850,4750,4800
2012-01-16,4775,4775,4725,4750
2012-01-17,4725,4775,4725,4775
2012-01-18,4775,4850,4750,4850
2012-01-19,4875,4925,4800,4850
2012-01-20,4900,4900,4750,4775
2012-01-24,4825,4875,4800,4850
2012-01-25,4850,4875,4825,4875
2012-01-26,4875,4900,4850,4875
2012-01-27,4900,4900,4825,4875
2012-01-30,4900,4900,4775,4800
2012-01-31,4800,4850,4775,4800
2012-02-01,4850,4900,4825,4850
2012-02-02,4900,4950,4850,4925
2012-02-03,4925,4950,4875,4925
2012-02-06,4950,4975,4825,4850
2012-02-07,4875,4875,4825,4850
2012-02-08,4875,5100,4850,5100
2012-02-09,5100,5150,5000,5150
2012-02-10,5100,5150,4950,4975
2012-02-13,5050,5050,4950,5000
2012-02-14,5000,5000,4975,5000
2012-02-15,5000,5000,4950,5000
2012-02-16,4950,4975,4850,4900
2012-02-17,4975,4975,4825,4850
2012-02-20,4850,4875,4825,4850
2012-02-21,4875,4925,4850,4900
2012-02-22,4900,4925,4875,4900
2012-02-23,4900,4900,4850,4875
2012-02-24,4900,4900,4800,4850
2012-02-27,4850,4875,4800,4850
2012-02-28,4900,4925,4850,4875
2012-02-29,4925,5100,4900,5100
2012-03-01,5050,5100,5000,5050
2012-03-02,5100,5200,5050,5150
2012-03-05,5150,5150,5000,5050
2012-03-06,5000,5000,4900,4950
2012-03-07,4925,5000,4875,5000
2012-03-08,5050,5100,5000,5100
2012-03-09,5100,5150,5050,5050
2012-03-12,5100,5100,5000,5100
2012-03-13,5100,5100,4975,5050
2012-03-14,5100,5100,4975,5000
2012-03-15,5000,5050,4950,4975
2012-03-16,4975,5000,4925,4925
2012-03-19,4950,4975,4875,4900
2012-03-20,4925,4925,4825,4875
2012-03-21,4875,4900,4825,4875
2012-03-22,4875,4875,4825,4825
2012-03-26,4850,4900,4800,4825
2012-03-27,4825,4875,4825,4850
2012-03-28,4850,4850,4825,4825
2012-03-29,4800,4850,4750,4800
2012-03-30,4800,4850,4775,4850
2012-04-02,4850,4900,4825,4850
2012-04-03,4825,4850,4800,4825
2012-04-04,4825,4825,4750,4775
2012-04-05,4750,4800,4725,4750
2012-04-09,4725,4775,4725,4750
2012-04-10,4725,4800,4725,4775
2012-04-11,4750,4800,4725,4775
2012-04-12,4775,4800,4675,4725
2012-04-13,4750,4775,4725,4750
2012-04-16,4725,4725,4650,4675
2012-04-17,4675,4700,4625,4650
2012-04-18,4675,4675,4625,4650
2012-04-19,4625,4625,4575,4625
2012-04-20,4625,4700,4600,4700
2012-04-23,4700,4725,4650,4675
2012-04-24,4675,4725,4675,4725
2012-04-25,4700,4775,4700,4775
2012-04-26,4775,4800,4750,4775
2012-04-27,4775,4775,4675,4700
2012-04-30,4725,4850,4725,4850
2012-05-01,4850,4850,4800,4850
2012-05-02,4850,4875,4775,4825
2012-05-03,4800,4825,4775,4800
2012-05-04,4800,4825,4775,4800
2012-05-07,4775,4775,4725,4775
2012-05-08,4800,4900,4800,4900
2012-05-09,4850,4875,4800,4825
2012-05-10,4825,4900,4825,4875
2012-05-11,4875,4900,4825,4900
2012-05-14,4900,4900,4850,4875
2012-05-15,4850,4900,4800,4875
2012-05-16,4850,4875,4750,4825
2012-05-21,4825,4850,4675,4725
2012-05-22,4775,4775,4700,4725
2012-05-23,4675,4800,4650,4775
2012-05-24,4800,4825,4750,4775
