time,Open,High,Low,Close
2012-01-02,38500,38550,38250,38500
2012-01-03,38800,39600,38600,39500
2012-01-04,39950,40650,39850,40400
2012-01-05,40950,41000,39750,39850
2012-01-06,39250,39500,38600,39100
2012-01-09,39100,39450,38700,39450
2012-01-10,39500,40150,39200,40000
2012-01-11,40100,40800,39550,39800
2012-01-12,39900,40000,38850,39100
2012-01-13,39500,39700,39200,39700
2012-01-16,39400,39400,38900,39200
2012-01-17,39200,39400,38800,39250
2012-01-18,39400,39400,38850,39100
2012-01-19,39500,39550,38750,38950
2012-01-20,39500,39500,38550,38750
2012-01-24,39000,39100,38800,38950
2012-01-25,39000,39000,37950,38100
2012-01-26,38100,38250,37600,37750
2012-01-27,38000,38350,37450,37750
2012-01-30,37700,37700,36650,36800
2012-01-31,37000,37350,36200,36700
2012-02-01,36700,37000,36650,36900
2012-02-02,37300,38900,37300,38850
2012-02-03,38800,39500,38300,39200
2012-02-06,39600,39750,39000,39350
2012-02-07,39650,39650,38850,39500
2012-02-08,39800,41550,39600,41300
2012-02-09,41000,41200,40350,41100
2012-02-10,41000,41100,39800,40450
2012-02-13,39800,40250,39500,39850
2012-02-14,40000,40800,39500,40550
2012-02-15,40550,41750,40400,41650
2012-02-16,41650,42000,41250,41650
2012-02-17,42200,43150,41800,42400
2012-02-20,43050,43650,42750,43400
2012-02-21,43600,43600,42800,43050
2012-02-22,43400,43650,42550,43500
2012-02-23,43500,44800,43200,43400
2012-02-24,43500,43900,41650,42500
2012-02-27,42700,42700,41550,41900
2012-02-28,42600,44000,42050,43200
2012-02-29,44000,44000,43150,43350
2012-03-01,43200,43400,42800,43200
2012-03-02,43300,44000,43300,43800
2012-03-05,43300,43350,42700,43150
2012-03-06,43000,43000,41550,42150
2012-03-07,41550,42000,41050,41400
2012-03-08,41600,42850,41600,42850
2012-03-09,43000,43100,42750,42800
2012-03-12,42750,43250,42650,42950
2012-03-13,43050,43250,42550,42850
2012-03-14,43300,43700,42350,42750
2012-03-15,42750,42750,41500,41550
2012-03-16,41950,42000,41600,41950
2012-03-19,42200,42300,41900,42150
2012-03-20,42150,42200,41250,41500
2012-03-21,41500,41850,41350,41500
2012-03-22,41850,41850,41350,41500
2012-03-26,41800,42000,41750,41850
2012-03-27,42000,42950,42000,42950
2012-03-28,42850,43050,42650,43050
2012-03-29,43000,43050,42800,43000
2012-03-30,42950,43450,42900,43450
2012-04-02,43500,45100,43500,44900
2012-04-03,45300,45800,44950,45050
2012-04-04,45000,45000,43600,43700
2012-04-05,43500,44400,43450,44250
2012-04-09,44000,44350,43900,44000
2012-04-10,44000,44350,43800,44000
2012-04-11,43800,44250,43100,43250
2012-04-12,43150,43500,42200,42900
2012-04-13,42900,42950,41600,41700
2012-04-16,41500,41800,40900,41200
2012-04-17,41200,41600,40900,41050
2012-04-18,41500,42300,41500,41900
2012-04-19,42000,42050,41650,41800
2012-04-20,42000,42000,41650,41850
2012-04-23,41750,41850,41150,41650
2012-04-24,41800,42950,41800,42900
2012-04-25,43200,43450,42650,42750
2012-04-26,43000,43200,42750,43000
2012-04-27,43050,43450,42150,42300
2012-04-30,41000,41000,39700,39750
2012-05-01,39750,39900,39100,39550
2012-05-02,39550,39850,38950,39050
2012-05-03,39050,39800,39050,39600
2012-05-04,39750,40000,38700,39000
2012-05-07,38100,38300,37800,37850
2012-05-08,38050,38850,38050,38400
2012-05-09,38200,38200,37500,37550
2012-05-10,37650,38100,37450,37650
2012-05-11,37550,37600,36800,36850
2012-05-14,36850,37150,35300,35450
2012-05-15,35000,36850,35000,36000
2012-05-16,35500,35900,34750,35250
2012-05-21,35000,35500,34250,34600
2012-05-22,35000,35300,34750,35000
2012-05-23,34900,35450,34600,35350
2012-05-24,35350,35900,35250,35300
2012-05-25,35300,35600,34500,34550
2012-05-28,34250,34600,33800,34100
2012-05-29,34100,34650,33800,34350
2012-05-30,34250,34600,34100,34400
2012-05-31,34150,34500,33750,33800
2012-06-01,34000,34400,34000,34250
2012-06-04,33150,33700,30500,30500
2012-06-05,31900,31900,30150,30500
2012-06-06,31200,32550,31000,32400
2012-06-07,33350,33900,32850,33450
2012-06-08,33450,33450,33000,33400
2012-06-11,34550,34700,34000,34500
2012-06-12,34200,34500,33600,34500
2012-06-13,34500,34500,33900,34200
2012-06-14,34550,35400,34150,34700
2012-06-15,34800,36300,34800,36000
2012-06-18,36500,37700,36500,36950
2012-06-19,36500,36950,36400,36800
2012-06-20,36800,37450,36550,37450
2012-06-21,37000,37300,36800,37150
2012-06-22,36000,36400,35950,36400
2012-06-25,37100,37200,36100,36200
2012-06-26,36200,37000,36200,36850
2012-06-27,37000,37350,36700,36750
2012-06-28,36800,36900,35050,35050
2012-06-29,36000,36200,35250,35950
2012-07-02,36600,37950,36350,37700
2012-07-03,38000,38400,37800,38000
2012-07-04,38300,38300,37450,37800
2012-07-05,37900,37950,37650,37850
2012-07-06,38300,38300,37550,37850
2012-07-09,37650,38200,37400,37700
2012-07-10,37800,38100,37250,37650
2012-07-11,38050,38200,37850,38000
2012-07-12,37850,37850,37050,37200
2012-07-13,37200,37500,37100,37200
2012-07-16,37200,37800,37100,37250
2012-07-17,37500,38000,37250,37800
2012-07-18,38000,38000,37750,37950
2012-07-19,38200,38300,37750,38100
2012-07-20,38200,38300,37350,37550
2012-07-23,37400,37500,37000,37350
2012-07-24,37200,37450,36450,36450
2012-07-25,36000,36000,34950,35000
2012-07-26,35500,35500,34600,34600
2012-07-27,35500,35500,34900,35150
2012-07-30,35100,35500,35100,35250
2012-07-31,35600,35600,35150,35550
2012-08-01,35900,36800,35600,36700
