time,Open,High,Low,Close
2012-01-02,515.0,525.0,515.0,515.0
2012-01-03,520.0,530.0,520.0,530.0
2012-01-04,525.0,545.0,525.0,545.0
2012-01-05,540.0,550.0,535.0,540.0
2012-01-06,535.0,535.0,530.0,530.0
2012-01-09,530.0,530.0,510.0,520.0
2012-01-10,520.0,525.0,515.0,525.0
2012-01-11,535.0,535.0,510.0,515.0
2012-01-12,515.0,520.0,510.0,520.0
2012-01-13,520.0,525.0,505.0,510.0
2012-01-16,510.0,515.0,500.0,510.0
2012-01-17,515.0,540.0,515.0,535.0
2012-01-18,535.0,560.0,535.0,550.0
2012-01-19,550.0,580.0,550.0,575.0
2012-01-20,585.0,585.0,560.0,570.0
2012-01-24,570.0,580.0,570.0,580.0
2012-01-25,580.0,580.0,570.0,570.0
2012-01-26,570.0,570.0,560.0,570.0
2012-01-27,560.0,570.0,560.0,570.0
2012-01-30,565.0,575.0,560.0,565.0
2012-01-31,560.0,580.0,560.0,570.0
2012-02-01,570.0,580.0,570.0,580.0
2012-02-02,590.0,615.0,585.0,600.0
2012-02-03,615.0,615.0,595.0,600.0
2012-02-06,600.0,605.0,580.0,580.0
2012-02-07,580.0,580.0,560.0,570.0
2012-02-08,570.0,570.0,560.0,570.0
2012-02-09,570.0,570.0,545.0,555.0
2012-02-10,555.0,560.0,525.0,540.0
2012-02-13,530.0,550.0,515.0,545.0
2012-02-14,545.0,550.0,540.0,550.0
2012-02-15,545.0,560.0,545.0,550.0
2012-02-16,545.0,550.0,525.0,525.0
2012-02-17,525.0,560.0,525.0,560.0
2012-02-20,565.0,570.0,550.0,555.0
2012-02-21,565.0,570.0,545.0,550.0
2012-02-22,550.0,555.0,535.0,540.0
2012-02-23,540.0,550.0,535.0,540.0
2012-02-24,540.0,550.0,530.0,545.0
2012-02-27,545.0,545.0,540.0,540.0
2012-02-28,540.0,560.0,530.0,560.0
2012-02-29,560.0,570.0,550.0,565.0
2012-03-01,565.0,590.0,565.0,580.0
2012-03-02,580.0,610.0,580.0,600.0
2012-03-05,610.0,610.0,585.0,595.0
