time,Open,High,Low,Close
2012-01-02,457.1424,461.9043,457.1424,457.1424
2012-01-03,461.9043,466.6662,447.6186,457.1424
2012-01-04,457.1424,476.19,457.1424,466.6662
2012-01-05,471.4281,471.4281,447.6186,457.1424
2012-01-06,457.1424,461.9043,452.3805,452.3805
2012-01-09,461.9043,461.9043,447.6186,457.1424
2012-01-10,461.9043,466.6662,457.1424,466.6662
2012-01-11,471.4281,476.19,466.6662,471.4281
2012-01-12,471.4281,471.4281,461.9043,471.4281
2012-01-13,466.6662,495.2376,466.6662,485.7138
2012-01-16,485.7138,485.7138,476.19,485.7138
2012-01-17,485.7138,485.7138,476.19,480.9519
2012-01-18,476.19,480.9519,471.4281,476.19
2012-01-19,476.19,485.7138,471.4281,476.19
2012-01-20,480.9519,480.9519,471.4281,476.19
2012-01-24,476.19,476.19,471.4281,476.19
2012-01-25,476.19,476.19,471.4281,471.4281
2012-01-26,471.4281,471.4281,461.9043,466.6662
2012-01-27,466.6662,466.6662,457.1424,461.9043
2012-01-30,457.1424,457.1424,442.8567,447.6186
2012-01-31,438.0948,447.6186,433.3329,442.8567
2012-02-01,442.8567,442.8567,428.571,433.3329
2012-02-02,438.0948,442.8567,433.3329,433.3329
2012-02-03,433.3329,442.8567,433.3329,433.3329
2012-02-06,438.0948,447.6186,428.571,438.0948
2012-02-07,438.0948,438.0948,423.8091,428.571
2012-02-08,428.571,433.3329,419.0472,428.571
2012-02-09,428.571,428.571,419.0472,423.8091
2012-02-10,423.8091,423.8091,414.2853,419.0472
2012-02-13,419.0472,433.3329,414.2853,433.3329
2012-02-14,438.0948,438.0948,423.8091,428.571
2012-02-15,433.3329,438.0948,428.571,428.571
2012-02-16,428.571,433.3329,423.8091,428.571
2012-02-17,428.571,438.0948,428.571,428.571
2012-02-20,433.3329,438.0948,428.571,428.571
2012-02-21,433.3329,442.8567,433.3329,442.8567
2012-02-22,442.8567,447.6186,438.0948,442.8567
2012-02-23,442.8567,442.8567,433.3329,438.0948
2012-02-24,438.0948,438.0948,428.571,428.571
2012-02-27,428.571,433.3329,423.8091,433.3329
2012-02-28,428.571,438.0948,428.571,438.0948
2012-02-29,433.3329,438.0948,428.571,438.0948
2012-03-01,438.0948,438.0948,433.3329,433.3329
2012-03-02,438.0948,438.0948,428.571,438.0948
2012-03-05,438.0948,442.8567,433.3329,438.0948
2012-03-06,438.0948,447.6186,438.0948,442.8567
2012-03-07,438.0948,442.8567,428.571,433.3329
2012-03-08,433.3329,438.0948,428.571,433.3329
2012-03-09,438.0948,438.0948,433.3329,433.3329
2012-03-12,433.3329,433.3329,423.8091,428.571
2012-03-13,428.571,428.571,423.8091,428.571
2012-03-14,428.571,428.571,423.8091,423.8091
2012-03-15,419.0472,423.8091,399.9996,409.5234
2012-03-16,409.5234,409.5234,399.9996,404.7615
2012-03-19,404.7615,409.5234,395.2377,399.9996
2012-03-20,399.9996,404.7615,395.2377,399.9996
2012-03-21,404.7615,409.5234,395.2377,404.7615
2012-03-22,399.9996,409.5234,399.9996,404.7615
2012-03-26,399.9996,399.9996,390.4758,395.2377
2012-03-27,399.9996,423.8091,390.4758,423.8091
2012-03-28,419.0472,433.3329,414.2853,428.571
2012-03-29,428.571,442.8567,409.5234,419.0472
2012-03-30,419.0472,419.0472,404.7615,409.5234
2012-04-02,409.5234,414.2853,404.7615,404.7615
2012-04-03,409.5234,409.5234,390.4758,395.2377
2012-04-04,395.2377,399.9996,385.7139,390.4758
2012-04-05,385.7139,390.4758,379.04724,380.952
2012-04-09,380.952,399.9996,379.04724,399.9996
2012-04-10,399.9996,399.9996,390.4758,395.2377
2012-04-11,390.4758,395.2377,385.7139,385.7139
2012-04-12,385.7139,399.9996,385.7139,399.9996
2012-04-13,399.9996,404.7615,395.2377,399.9996
2012-04-16,395.2377,399.9996,390.4758,395.2377
2012-04-17,399.9996,399.9996,390.4758,395.2377
2012-04-18,390.4758,395.2377,380.952,385.7139
2012-04-19,385.7139,409.5234,385.7139,409.5234
2012-04-20,409.5234,423.8091,404.7615,423.8091
2012-04-23,423.8091,428.571,404.7615,414.2853
2012-04-24,409.5234,419.0472,409.5234,414.2853
2012-04-25,414.2853,414.2853,404.7615,404.7615
2012-04-26,414.2853,414.2853,399.9996,404.7615
2012-04-27,404.7615,404.7615,395.2377,399.9996
2012-04-30,399.9996,399.9996,395.2377,399.9996
2012-05-01,399.9996,399.9996,390.4758,399.9996
2012-05-02,395.2377,423.8091,395.2377,423.8091
2012-05-03,423.8091,447.6186,419.0472,438.0948
2012-05-04,438.0948,452.3805,428.571,433.3329
2012-05-07,423.8091,423.8091,404.7615,409.5234
2012-05-08,414.2853,414.2853,399.9996,404.7615
2012-05-09,399.9996,409.5234,395.2377,399.9996
2012-05-10,404.7615,409.5234,399.9996,404.7615
2012-05-11,404.7615,404.7615,395.2377,399.9996
2012-05-14,399.9996,409.5234,390.4758,390.4758
2012-05-15,385.7139,390.4758,380.952,385.7139
2012-05-16,380.952,385.7139,371.4282,373.33296
2012-05-21,371.4282,375.23772,363.80916,365.71392
2012-05-22,373.33296,373.33296,363.80916,367.61868
2012-05-23,367.61868,367.61868,358.09488,361.9044
2012-05-24,361.9044,365.71392,358.09488,361.9044
2012-05-25,361.9044,361.9044,350.47584,354.28536
2012-05-28,354.28536,356.19012,348.57108,354.28536
2012-05-29,352.3806,352.3806,346.66632,350.47584
2012-05-30,348.57108,348.57108,342.8568,342.8568
2012-05-31,342.8568,344.76156,325.71396,344.76156
2012-06-01,337.14252,348.57108,335.23776,342.8568
2012-06-04,329.52348,329.52348,302.85684,316.19016
2012-06-05,318.09492,323.8092,304.7616,314.2854
2012-06-06,314.2854,335.23776,314.2854,335.23776
2012-06-07,337.14252,342.8568,331.42824,335.23776
2012-06-08,335.23776,354.28536,331.42824,354.28536
2012-06-11,354.28536,369.52344,354.28536,369.52344
2012-06-12,367.61868,367.61868,354.28536,356.19012
2012-06-13,358.09488,358.09488,346.66632,348.57108
2012-06-14,346.66632,352.3806,331.42824,335.23776
2012-06-15,339.04728,363.80916,327.61872,346.66632
2012-06-18,352.3806,361.9044,344.76156,348.57108
2012-06-19,346.66632,346.66632,337.14252,340.95204
2012-06-20,344.76156,348.57108,344.76156,346.66632
2012-06-21,344.76156,348.57108,339.04728,346.66632
2012-06-22,339.04728,346.66632,337.14252,344.76156
2012-06-25,346.66632,346.66632,335.23776,335.23776
2012-06-26,335.23776,335.23776,331.42824,333.333
2012-06-27,337.14252,340.95204,331.42824,335.23776
2012-06-28,344.76156,348.57108,327.61872,329.52348
2012-06-29,331.42824,344.76156,331.42824,342.8568
2012-07-02,346.66632,350.47584,342.8568,342.8568
2012-07-03,344.76156,350.47584,342.8568,348.57108
2012-07-04,350.47584,354.28536,348.57108,350.47584
2012-07-05,352.3806,352.3806,344.76156,346.66632
2012-07-06,346.66632,352.3806,342.8568,348.57108
2012-07-09,348.57108,348.57108,331.42824,335.23776
2012-07-10,335.23776,339.04728,331.42824,339.04728
2012-07-11,339.04728,339.04728,333.333,335.23776
2012-07-12,335.23776,335.23776,327.61872,329.52348
2012-07-13,329.52348,333.333,327.61872,327.61872
2012-07-16,331.42824,335.23776,329.52348,331.42824
2012-07-17,333.333,344.76156,331.42824,342.8568
2012-07-18,342.8568,348.57108,333.333,337.14252
2012-07-19,340.95204,342.8568,335.23776,339.04728
2012-07-20,339.04728,354.28536,339.04728,348.57108
2012-07-23,348.57108,348.57108,329.52348,329.52348
2012-07-24,329.52348,337.14252,327.61872,331.42824
2012-07-25,329.52348,331.42824,325.71396,331.42824
2012-07-26,331.42824,333.333,327.61872,329.52348
2012-07-27,333.333,339.04728,331.42824,335.23776
2012-07-30,340.95204,340.95204,331.42824,331.42824
2012-07-31,331.42824,331.42824,325.71396,329.52348
2012-08-01,327.61872,331.42824,323.8092,327.61872
2012-08-02,329.52348,329.52348,319.99968,319.99968
2012-08-03,319.99968,323.8092,316.19016,323.8092
2012-08-06,327.61872,329.52348,321.90444,323.8092
2012-08-07,325.71396,329.52348,323.8092,325.71396
2012-08-08,327.61872,329.52348,323.8092,325.71396
2012-08-09,325.71396,335.23776,325.71396,331.42824
2012-08-10,331.42824,331.42824,325.71396,329.52348
2012-08-13,325.71396,327.61872,321.90444,321.90444
2012-08-14,323.8092,323.8092,319.99968,323.8092
2012-08-15,321.90444,323.8092,318.09492,319.99968
2012-08-16,319.99968,323.8092,319.99968,323.8092
2012-08-23,323.8092,327.61872,319.99968,323.8092
2012-08-24,321.90444,325.71396,321.90444,325.71396
2012-08-28,325.71396,327.61872,319.99968,321.90444
2012-08-29,321.90444,323.8092,316.19016,318.09492
2012-08-30,316.19016,316.19016,310.47588,312.38064
2012-08-31,310.47588,319.99968,306.66636,319.99968
2012-09-03,318.09492,319.99968,314.2854,316.19016
2012-09-04,316.19016,316.19016,308.57112,310.47588
2012-09-05,310.47588,314.2854,306.66636,312.38064
2012-09-06,312.38064,312.38064,306.66636,308.57112
2012-09-07,310.47588,312.38064,308.57112,310.47588
2012-09-10,312.38064,312.38064,308.57112,312.38064
2012-09-11,312.38064,312.38064,308.57112,308.57112
2012-09-12,308.57112,310.47588,306.66636,308.57112
2012-09-13,308.57112,312.38064,306.66636,308.57112
2012-09-14,310.47588,318.09492,308.57112,316.19016
2012-09-17,318.09492,318.09492,314.2854,316.19016
2012-09-18,316.19016,331.42824,316.19016,325.71396
2012-09-19,327.61872,339.04728,327.61872,335.23776
2012-09-20,339.04728,339.04728,329.52348,331.42824
2012-09-21,333.333,333.333,327.61872,329.52348
2012-09-24,329.52348,329.52348,327.61872,327.61872
2012-09-25,327.61872,331.42824,325.71396,331.42824
2012-09-26,331.42824,331.42824,327.61872,329.52348
2012-09-27,329.52348,329.52348,323.8092,325.71396
2012-09-28,327.61872,327.61872,323.8092,325.71396
2012-10-01,325.71396,329.52348,325.71396,327.61872
2012-10-02,327.61872,327.61872,321.90444,323.8092
2012-10-03,323.8092,323.8092,314.2854,318.09492
2012-10-04,318.09492,318.09492,312.38064,314.2854
2012-10-05,314.2854,316.19016,310.47588,312.38064
2012-10-08,310.47588,312.38064,302.85684,306.66636
2012-10-09,306.66636,306.66636,304.7616,304.7616
2012-10-10,304.7616,314.2854,304.7616,310.47588
2012-10-11,310.47588,314.2854,306.66636,308.57112
2012-10-12,310.47588,312.38064,306.66636,306.66636
2012-10-15,306.66636,308.57112,304.7616,308.57112
2012-10-16,308.57112,310.47588,306.66636,310.47588
2012-10-17,310.47588,312.38064,304.7616,306.66636
2012-10-18,308.57112,310.47588,306.66636,310.47588
2012-10-19,310.47588,310.47588,306.66636,308.57112
2012-10-22,304.7616,306.66636,304.7616,306.66636
2012-10-23,306.66636,308.57112,304.7616,304.7616
2012-10-24,304.7616,304.7616,300.95208,304.7616
2012-10-25,304.7616,306.66636,300.95208,304.7616
2012-10-29,304.7616,304.7616,300.95208,302.85684
2012-10-30,302.85684,302.85684,300.95208,300.95208
