time,Open,High,Low,Close
2012-01-02,3480,3480,3460,3470
2012-01-03,3490,3680,3490,3680
2012-01-04,3680,3740,3670,3670
2012-01-05,3670,3720,3640,3690
2012-01-06,3700,3700,3580,3630
2012-01-09,3630,3660,3580,3660
2012-01-10,3660,3820,3660,3810
2012-01-11,3840,3880,3760,3850
2012-01-12,3860,3890,3830,3870
2012-01-13,3900,3910,3850,3850
2012-01-16,3870,3940,3840,3880
2012-01-17,3930,3930,3840,3930
2012-01-18,3920,3930,3900,3910
2012-01-19,3930,3960,3910,3950
2012-01-20,3960,3980,3920,3950
2012-01-24,3960,4010,3960,3990
2012-01-25,3990,4010,3940,3940
2012-01-26,3920,4010,3920,4000
2012-01-27,4010,4050,4010,4030
2012-01-30,4040,4050,3990,4000
2012-01-31,4000,4050,4000,4030
2012-02-01,4050,4050,4020,4040
2012-02-02,4040,4070,4030,4050
2012-02-03,4070,4120,4060,4100
2012-02-06,4120,4160,3980,4060
2012-02-07,4070,4070,4000,4040
2012-02-08,4020,4150,4020,4140
2012-02-09,4160,4190,4140,4190
2012-02-10,4190,4230,4170,4190
2012-02-13,4190,4210,4180,4200
2012-02-14,4200,4210,4190,4190
2012-02-15,4200,4210,4190,4200
2012-02-16,4100,4200,4100,4190
2012-02-17,4220,4220,4190,4200
2012-02-20,4200,4210,4130,4150
2012-02-21,4100,4190,4100,4160
2012-02-22,4160,4200,4160,4200
2012-02-23,4210,4210,4160,4160
2012-02-24,4190,4200,4130,4150
2012-02-27,4180,4190,4100,4140
2012-02-28,4150,4180,4110,4110
2012-02-29,4150,4170,4110,4150
2012-03-01,4170,4180,4130,4130
2012-03-02,4170,4190,4140,4170
2012-03-05,4150,4200,4140,4180
2012-03-06,4150,4190,4130,4150
2012-03-07,4140,4180,4100,4140
2012-03-08,4170,4220,4170,4180
2012-03-09,4200,4210,4170,4180
2012-03-12,4200,4200,4160,4170
2012-03-13,4150,4190,4130,4160
2012-03-14,4180,4180,4130,4160
2012-03-15,4170,4180,4050,4080
2012-03-16,4080,4080,4010,4020
2012-03-19,4060,4120,4040,4110
2012-03-20,4100,4120,4060,4090
2012-03-21,4050,4080,4020,4050
2012-03-22,4080,4080,4040,4060
2012-03-26,4100,4100,4040,4060
2012-03-27,4080,4110,4070,4110
2012-03-28,4050,4140,4050,4100
2012-03-29,4090,4090,4040,4080
2012-03-30,4070,4100,4060,4100
2012-04-02,4100,4100,4070,4080
2012-04-03,4120,4120,4080,4090
2012-04-04,4110,4110,4020,4020
2012-04-05,4020,4080,4020,4070
2012-04-09,4020,4080,4020,4060
2012-04-10,4070,4080,4050,4050
2012-04-11,4030,4050,3800,3840
2012-04-12,3880,3890,3730,3790
2012-04-13,3830,3840,3750,3780
2012-04-16,3800,3820,3770,3800
2012-04-17,3830,3870,3800,3860
2012-04-18,3900,3950,3840,3860
2012-04-19,3830,3850,3810,3820
2012-04-20,3820,3860,3800,3850
2012-04-23,3860,3870,3760,3810
2012-04-24,3840,3850,3690,3740
2012-04-25,3720,3720,3690,3710
2012-04-26,3710,3730,3600,3600
2012-04-27,3640,3670,3610,3630
2012-04-30,3670,3690,3630,3690
2012-05-01,3700,3700,3630,3640
2012-05-02,3700,3710,3620,3630
2012-05-03,3630,3680,3630,3660
2012-05-04,3690,3690,3640,3650
2012-05-07,3600,3620,3510,3510
2012-05-08,3560,3610,3540,3570
2012-05-09,3590,3600,3470,3470
2012-05-10,3490,3510,3390,3410
2012-05-11,3410,3410,3230,3250
2012-05-14,3270,3310,3240,3250
2012-05-15,3200,3330,3200,3300
2012-05-16,3260,3290,3220,3290
2012-05-21,3290,3320,3220,3270
2012-05-22,3280,3400,3280,3400
2012-05-23,3360,3400,3280,3300
2012-05-24,3380,3420,3320,3380
2012-05-25,3350,3380,3200,3240
2012-05-28,3200,3270,3200,3260
2012-05-29,3260,3280,3230,3260
2012-05-30,3180,3240,3130,3190
2012-05-31,3080,3120,3000,3000
2012-06-01,3000,3050,2970,3000
2012-06-04,2870,2900,2640,2650
2012-06-05,2700,2740,2590,2630
2012-06-06,2650,2740,2650,2740
2012-06-07,2760,2840,2670,2710
2012-06-08,2690,2750,2670,2740
2012-06-11,2800,2830,2750,2790
2012-06-12,2740,2760,2670,2670
2012-06-13,2680,2700,2650,2650
2012-06-14,2670,2700,2600,2650
2012-06-15,2650,2700,2610,2670
2012-06-18,2740,2840,2720,2780
2012-06-19,2780,2820,2760,2800
2012-06-20,2840,2980,2840,2980
2012-06-21,2980,2980,2900,2950
2012-06-22,2900,2900,2800,2860
2012-06-25,2810,2850,2760,2790
2012-06-26,2820,2920,2800,2910
2012-06-27,2950,3000,2950,3000
2012-06-28,3000,3040,2860,2900
2012-06-29,2900,3030,2880,2930
2012-07-02,3010,3080,2970,3040
2012-07-03,3070,3090,3050,3080
2012-07-04,3110,3290,3110,3270
2012-07-05,3270,3280,3190,3210
2012-07-06,3210,3230,3170,3210
2012-07-09,3160,3180,3060,3100
2012-07-10,3060,3130,3000,3090
2012-07-11,3080,3090,3030,3090
2012-07-12,3080,3080,2890,2980
2012-07-13,2980,3010,2910,2940
2012-07-16,2960,3040,2960,3000
2012-07-17,3000,3130,3000,3120
2012-07-18,3120,3150,3080,3120
2012-07-19,3160,3180,3110,3170
2012-07-20,3190,3220,3150,3150
2012-07-23,3060,3090,3050,3070
2012-07-24,3030,3120,3030,3080
2012-07-25,3090,3090,3020,3060
2012-07-26,3040,3080,3040,3080
2012-07-27,3100,3120,3070,3100
2012-07-30,3100,3150,3100,3120
2012-07-31,3150,3210,3120,3180
2012-08-01,3200,3200,3150,3170
2012-08-02,3170,3190,3050,3060
2012-08-03,3030,3050,2980,3030
2012-08-06,3080,3090,3030,3050
2012-08-07,3050,3060,2980,2990
2012-08-08,3000,3030,2970,3000
2012-08-09,2980,3010,2980,3000
2012-08-10,3020,3020,2980,3000
2012-08-13,3040,3040,2980,2990
2012-08-14,3000,3000,2970,2980
2012-08-15,2960,2990,2950,2990
2012-08-16,3010,3020,2990,3020
2012-08-23,3000,3060,2990,3030
2012-08-24,3020,3020,2980,2990
2012-08-28,3010,3010,2960,2980
2012-08-29,2980,3000,2840,2920
2012-08-30,2920,2920,2770,2800
2012-08-31,2780,2950,2700,2920
2012-09-03,2880,2950,2840,2930
2012-09-04,2900,2930,2850,2850
2012-09-05,2820,2830,2770,2770
2012-09-06,2800,2830,2760,2780
2012-09-07,2850,2870,2820,2850
2012-09-10,2850,2900,2820,2850
2012-09-11,2840,2910,2820,2890
2012-09-12,2890,2930,2890,2910
2012-09-13,2950,2950,2900,2930
2012-09-14,2980,3140,2980,3130
2012-09-17,3150,3400,3150,3320
2012-09-18,3320,3330,3220,3240
2012-09-19,3300,3390,3240,3330
2012-09-20,3290,3310,3220,3260
2012-09-21,3260,3270,3200,3250
2012-09-24,3250,3260,3210,3250
2012-09-25,3220,3280,3220,3250
2012-09-26,3240,3240,3200,3230
2012-09-27,3230,3240,3210,3230
2012-09-28,3220,3270,3220,3240
2012-10-01,3210,3360,3200,3340
