time,Open,High,Low,Close
2012-01-02,1400,1420,1400,1410
2012-01-03,1400,1420,1400,1410
2012-01-04,1420,1430,1400,1420
2012-01-05,1420,1430,1400,1410
2012-01-06,1400,1400,1370,1390
2012-01-09,1390,1410,1380,1410
2012-01-10,1410,1420,1400,1420
2012-01-11,1410,1420,1390,1400
2012-01-12,1390,1400,1380,1400
2012-01-13,1400,1400,1380,1390
2012-01-16,1390,1400,1380,1400
2012-01-17,1400,1400,1390,1400
2012-01-18,1390,1400,1380,1400
2012-01-19,1400,1400,1370,1380
2012-01-20,1390,1390,1370,1380
2012-01-24,1380,1390,1380,1390
2012-01-25,1390,1390,1370,1380
2012-01-26,1380,1400,1380,1400
2012-01-27,1400,1400,1380,1400
2012-01-30,1400,1410,1370,1380
2012-01-31,1380,1390,1360,1370
2012-02-01,1370,1370,1340,1350
2012-02-02,1360,1380,1350,1380
2012-02-03,1380,1390,1360,1380
2012-02-06,1380,1390,1360,1360
2012-02-07,1370,1380,1350,1370
2012-02-08,1360,1390,1360,1380
2012-02-09,1370,1380,1350,1360
2012-02-10,1360,1370,1330,1350
2012-02-13,1350,1370,1340,1370
2012-02-14,1360,1380,1350,1380
2012-02-15,1370,1390,1350,1360
2012-02-16,1350,1370,1350,1370
2012-02-17,1380,1400,1370,1390
2012-02-20,1400,1410,1390,1400
2012-02-21,1410,1420,1390,1410
2012-02-22,1410,1410,1400,1410
2012-02-23,1410,1410,1400,1400
2012-02-24,1410,1410,1370,1380
2012-02-27,1370,1390,1370,1370
2012-02-28,1390,1400,1380,1390
2012-02-29,1400,1410,1400,1410
2012-03-01,1410,1410,1380,1400
2012-03-02,1400,1430,1390,1430
2012-03-05,1430,1430,1410,1430
2012-03-06,1420,1420,1400,1420
2012-03-07,1400,1410,1380,1400
2012-03-08,1400,1410,1380,1390
2012-03-09,1390,1390,1370,1390
2012-03-12,1380,1390,1350,1360
2012-03-13,1370,1380,1340,1370
2012-03-14,1380,1390,1360,1380
2012-03-15,1370,1380,1350,1360
2012-03-16,1360,1370,1350,1350
2012-03-19,1350,1370,1350,1360
2012-03-20,1370,1390,1360,1390
2012-03-21,1390,1400,1380,1400
2012-03-22,1390,1400,1380,1390
2012-03-26,1400,1410,1400,1410
2012-03-27,1410,1420,1410,1410
2012-03-28,1400,1410,1390,1400
2012-03-29,1400,1420,1390,1410
2012-03-30,1410,1430,1390,1400
2012-04-02,1420,1420,1410,1410
2012-04-03,1420,1500,1420,1450
2012-04-04,1450,1480,1430,1460
2012-04-05,1460,1520,1460,1510
2012-04-09,1510,1530,1500,1510
2012-04-10,1530,1540,1520,1520
2012-04-11,1520,1520,1490,1500
2012-04-12,1510,1520,1500,1520
2012-04-13,1520,1530,1510,1520
2012-04-16,1520,1520,1510,1520
2012-04-17,1520,1550,1510,1510
2012-04-18,1530,1550,1520,1530
2012-04-19,1530,1570,1530,1550
2012-04-20,1550,1570,1550,1560
2012-04-23,1560,1580,1550,1560
2012-04-24,1580,1600,1570,1590
2012-04-25,1590,1590,1570,1580
2012-04-26,1580,1600,1570,1600
2012-04-27,1600,1740,1600,1700
2012-04-30,1700,1700,1630,1700
2012-05-01,1700,1700,1640,1650
2012-05-02,1660,1680,1640,1670
2012-05-03,1650,1680,1600,1670
2012-05-04,1630,1680,1630,1670
2012-05-07,1650,1660,1610,1660
2012-05-08,1650,1680,1640,1660
2012-05-09,1660,1660,1580,1580
2012-05-10,1540,1640,1540,1640
2012-05-11,1600,1650,1600,1640
2012-05-14,1630,1650,1600,1600
2012-05-15,1580,1640,1570,1630
2012-05-16,1600,1600,1550,1580
2012-05-21,1550,1600,1540,1570
2012-05-22,1590,1590,1550,1570
2012-05-23,1560,1560,1530,1550
2012-05-24,1540,1540,1470,1500
2012-05-25,1480,1480,1440,1450
2012-05-28,1410,1500,1400,1480
2012-05-29,1500,1540,1480,1520
2012-05-30,1540,1600,1530,1580
2012-05-31,1540,1600,1540,1560
2012-06-01,1570,1590,1520,1520
2012-06-04,1500,1540,1490,1520
2012-06-05,1530,1560,1530,1540
2012-06-06,1490,1510,1480,1510
2012-06-07,1520,1530,1500,1500
2012-06-08,1480,1500,1460,1470
2012-06-11,1490,1490,1460,1480
2012-06-12,1460,1520,1450,1520
2012-06-13,1530,1590,1530,1570
2012-06-14,1570,1570,1540,1540
2012-06-15,1570,1580,1480,1580
2012-06-18,1580,1580,1500,1500
2012-06-19,1530,1540,1510,1520
2012-06-20,1540,1620,1540,1600
2012-06-21,1610,1610,1570,1570
2012-06-22,1550,1580,1550,1550
2012-06-25,1570,1580,1560,1560
2012-06-26,1580,1590,1560,1560
2012-06-27,1590,1620,1580,1600
2012-06-28,1620,1630,1580,1580
2012-06-29,1590,1650,1590,1630
2012-07-02,1650,1650,1620,1620
2012-07-03,1620,1670,1620,1670
2012-07-04,1670,1700,1670,1680
2012-07-05,1700,1700,1680,1680
2012-07-06,1680,1680,1620,1640
2012-07-09,1640,1640,1590,1600
2012-07-10,1610,1650,1610,1650
2012-07-11,1660,1710,1660,1690
2012-07-12,1690,1710,1680,1690
2012-07-13,1690,1760,1690,1730
2012-07-16,1750,1780,1740,1770
2012-07-17,1780,1830,1770,1790
2012-07-18,1810,1830,1790,1790
2012-07-19,1800,1810,1750,1760
2012-07-20,1780,1800,1770,1800
2012-07-23,1780,1810,1760,1790
2012-07-24,1800,1800,1740,1750
2012-07-25,1750,1810,1740,1770
2012-07-26,1790,1810,1760,1780
2012-07-27,1800,1860,1800,1860
2012-07-30,1840,1850,1810,1810
2012-07-31,1800,1850,1780,1820
2012-08-01,1820,1850,1820,1850
2012-08-02,1850,1860,1780,1780
2012-08-03,1780,1810,1770,1790
2012-08-06,1820,1830,1770,1770
2012-08-07,1790,1810,1770,1790
2012-08-08,1790,1800,1760,1800
2012-08-09,1820,1850,1820,1830
2012-08-10,1830,1860,1820,1840
2012-08-13,1860,1860,1770,1790
2012-08-14,1810,1810,1750,1770
2012-08-15,1780,1860,1780,1850
2012-08-16,1860,1970,1860,1960
2012-08-23,1910,1930,1870,1920
2012-08-24,1890,1900,1880,1900
2012-08-28,1870,1890,1860,1860
2012-08-29,1870,1890,1840,1860
2012-08-30,1850,1880,1840,1860
2012-08-31,1850,1900,1850,1860
2012-09-03,1870,1930,1860,1910
2012-09-04,1910,1940,1910,1930
2012-09-05,1910,1940,1890,1920
2012-09-06,1930,1930,1910,1910
2012-09-07,1910,1940,1900,1930
2012-09-10,1930,1950,1870,1880
2012-09-11,1860,1900,1850,1890
2012-09-12,1900,1900,1880,1890
2012-09-13,1900,1910,1890,1890
2012-09-14,1910,1940,1890,1930
2012-09-17,1910,1910,1850,1850
2012-09-18,1870,1880,1850,1880
2012-09-19,1890,1910,1870,1880
2012-09-20,1870,1880,1850,1880
2012-09-21,1880,1890,1860,1880
2012-09-24,1850,1880,1840,1850
2012-09-25,1860,1870,1850,1870
2012-09-26,1870,1880,1830,1840
2012-09-27,1850,1890,1830,1870
2012-09-28,1870,1900,1870,1890
2012-10-01,1890,1890,1860,1880
2012-10-02,1890,1910,1880,1900
2012-10-03,1910,1910,1890,1900
2012-10-04,1900,1910,1880,1900
2012-10-05,1910,1920,1890,1900
2012-10-08,1920,1930,1910,1920
2012-10-09,1940,1950,1910,1930
2012-10-10,1930,1940,1920,1930
2012-10-11,1930,1950,1930,1950
2012-10-12,1950,1970,1930,1930
2012-10-15,1930,1950,1890,1920
2012-10-16,1930,1970,1920,1970
2012-10-17,1960,1970,1940,1950
2012-10-18,1960,1960,1920,1930
2012-10-19,1930,1960,1930,1930
2012-10-22,1930,1940,1910,1910
2012-10-23,1920,1940,1890,1930
2012-10-24,1930,1990,1920,1960
2012-10-25,1960,1980,1910,1930
2012-10-29,1940,1950,1910,1930
2012-10-30,1940,1940,1920,1920
2012-10-31,1930,1950,1910,1950
2012-11-01,1940,1980,1940,1950
2012-11-02,1930,1930,1880,1910
2012-11-05,1910,1910,1870,1880
2012-11-06,1910,1910,1870,1880
2012-11-07,1880,1890,1870,1880
2012-11-08,1860,1880,1860,1870
2012-11-09,1860,1880,1860,1880
2012-11-12,1880,1890,1870,1870
2012-11-13,1870,1890,1860,1880
2012-11-14,1880,1890,1870,1890
2012-11-19,1890,1890,1840,1850
2012-11-20,1870,1870,1850,1870
2012-11-21,1880,1880,1840,1840
2012-11-22,1850,1860,1840,1850
2012-11-23,1860,1860,1830,1840
2012-11-26,1850,1880,1840,1880
2012-11-27,1880,1890,1870,1880
2012-11-28,1870,1870,1840,1860
2012-11-29,1870,1870,1830,1850
2012-11-30,1860,1870,1790,1800
2012-12-03,1810,1820,1730,1770
2012-12-04,1760,1780,1740,1770
2012-12-05,1750,1780,1730,1760
2012-12-06,1770,1800,1760,1780
2012-12-07,1790,1840,1780,1840
2012-12-10,1840,1860,1830,1860
2012-12-11,1840,1860,1820,1830
2012-12-12,1840,1870,1820,1850
2012-12-13,1830,1840,1810,1830
2012-12-14,1830,1830,1750,1770
2012-12-17,1790,1810,1780,1810
2012-12-18,1820,1820,1770,1800
2012-12-19,1800,1810,1750,1780
2012-12-20,1760,1800,1750,1800
2012-12-21,1800,1830,1780,1830
2012-12-26,1820,1820,1810,1820
2012-12-27,1810,1810,1770,1790
2012-12-28,1800,1820,1780,1810
2013-01-02,1810,1830,1770,1790
2013-01-03,1800,1810,1790,1800
2013-01-04,1800,1820,1800,1820
2013-01-07,1820,1860,1820,1840
2013-01-08,1840,1850,1830,1830
2013-01-09,1830,1840,1780,1790
2013-01-10,1790,1800,1760,1790
2013-01-11,1790,1810,1780,1810
2013-01-14,1820,1830,1810,1830
2013-01-15,1830,1890,1830,1890
2013-01-16,1890,1900,1880,1900
2013-01-17,1890,1920,1890,1910
2013-01-18,1920,1960,1910,1960
2013-01-21,1950,1950,1900,1920
2013-01-22,1900,1920,1890,1920
2013-01-23,1920,1940,1880,1920
2013-01-25,1920,1960,1900,1960
2013-01-28,1940,1950,1900,1910
2013-01-29,1940,1960,1910,1930
2013-01-30,1930,1950,1920,1940
2013-01-31,1930,1940,1910,1940
2013-02-01,1940,1960,1930,1930
2013-02-04,1960,1960,1920,1940
2013-02-05,1950,1950,1920,1940
2013-02-06,1960,1960,1940,1960
2013-02-07,1940,1960,1920,1930
2013-02-08,1950,1950,1920,1930
2013-02-11,1930,1940,1920,1930
2013-02-12,1920,1930,1910,1930
2013-02-13,1920,1940,1910,1920
2013-02-14,1920,1960,1910,1950
2013-02-15,1950,2000,1950,1990
2013-02-18,2000,2010,1970,1990
2013-02-19,1990,2010,1970,1980
2013-02-20,1980,2000,1950,1970
2013-02-21,1970,1980,1960,1980
2013-02-22,1970,1980,1950,1970
2013-02-25,1980,1980,1950,1980
2013-02-26,1980,1980,1950,1970
2013-02-27,1990,2070,1980,2030
2013-02-28,2080,2190,2060,2150
