time,Open,High,Low,Close
2012-01-02,26350.0,26350.0,25950.0,26000.0
2012-01-03,26150.0,26400.0,26150.0,26400.0
2012-01-04,26800.0,27550.0,26700.0,27450.0
2012-01-05,27350.0,27400.0,27150.0,27300.0
2012-01-06,27300.0,27300.0,26600.0,26800.0
2012-01-09,26600.0,26950.0,26400.0,26950.0
2012-01-10,27100.0,28300.0,27100.0,28300.0
2012-01-11,28050.0,28650.0,27650.0,28200.0
2012-01-12,28000.0,28000.0,27200.0,27200.0
2012-01-13,27500.0,27800.0,27400.0,27800.0
2012-01-16,27300.0,27800.0,27200.0,27700.0
2012-01-17,27950.0,28500.0,27950.0,28400.0
2012-01-18,28800.0,29400.0,28700.0,29250.0
2012-01-19,29250.0,29550.0,28200.0,28250.0
2012-01-20,28750.0,28850.0,27950.0,28500.0
2012-01-24,28500.0,28850.0,28300.0,28500.0
2012-01-25,28400.0,28800.0,27900.0,28100.0
2012-01-26,28200.0,28200.0,27700.0,27850.0
2012-01-27,27850.0,27950.0,27550.0,27850.0
2012-01-30,27850.0,28100.0,27350.0,27850.0
2012-01-31,27500.0,28350.0,27500.0,28350.0
2012-02-01,28400.0,29300.0,28400.0,29050.0
2012-02-02,29350.0,29750.0,29350.0,29700.0
2012-02-03,29700.0,29900.0,29100.0,29250.0
2012-02-06,29600.0,29800.0,27950.0,28000.0
2012-02-07,28300.0,28450.0,27750.0,28050.0
2012-02-08,28300.0,29500.0,28050.0,29350.0
2012-02-09,28800.0,29050.0,28750.0,29050.0
2012-02-10,29300.0,29300.0,28500.0,29100.0
2012-02-13,29000.0,29250.0,28750.0,28800.0
2012-02-14,29000.0,29150.0,28800.0,28900.0
2012-02-15,29150.0,29200.0,29000.0,29100.0
2012-02-16,28800.0,29100.0,28550.0,28800.0
2012-02-17,29500.0,29750.0,29000.0,29600.0
2012-02-20,29750.0,30000.0,29450.0,29700.0
2012-02-21,29950.0,30200.0,29700.0,29950.0
2012-02-22,29800.0,29900.0,29050.0,29200.0
